game,day,memory.max,memory.total,memory.used,memory.free
1,58,+1024000.000,+45056.000,+9081.000,+35975.000
1,59,+1024000.000,+45056.000,+9596.000,+35460.000
1,60,+1024000.000,+34816.000,+8987.000,+25829.000
1,61,+1024000.000,+45056.000,+9029.000,+36027.000
1,62,+1024000.000,+37888.000,+9058.000,+28830.000
1,63,+1024000.000,+34816.000,+8940.000,+25876.000
1,64,+1024000.000,+148480.000,+9769.000,+138711.000
1,65,+1024000.000,+45056.000,+9044.000,+36012.000
1,66,+1024000.000,+45056.000,+9583.000,+35473.000
1,67,+1024000.000,+37888.000,+8959.000,+28929.000
1,68,+1024000.000,+40960.000,+8992.000,+31968.000
1,69,+1024000.000,+37888.000,+8952.000,+28936.000
1,70,+1024000.000,+34816.000,+8905.000,+25911.000
1,71,+1024000.000,+34816.000,+8921.000,+25895.000
1,72,+1024000.000,+45056.000,+9028.000,+36028.000
1,73,+1024000.000,+45056.000,+9503.000,+35553.000
1,74,+1024000.000,+37888.000,+8982.000,+28906.000
1,75,+1024000.000,+34816.000,+8963.000,+25853.000
1,76,+1024000.000,+34816.000,+8920.000,+25896.000
1,77,+1024000.000,+34816.000,+8895.000,+25921.000
1,78,+1024000.000,+34816.000,+8984.000,+25832.000
1,79,+1024000.000,+45056.000,+9000.000,+36056.000
2,0,+1024000.000,+34816.000,+8907.000,+25909.000
2,1,+1024000.000,+34816.000,+8914.000,+25902.000
2,2,+1024000.000,+148480.000,+9670.000,+138810.000
2,3,+1024000.000,+45056.000,+8987.000,+36069.000
2,4,+1024000.000,+45056.000,+9407.000,+35649.000
2,5,+1024000.000,+34816.000,+8864.000,+25952.000
2,6,+1024000.000,+45056.000,+9069.000,+35987.000
2,7,+1024000.000,+37888.000,+8878.000,+29010.000
2,8,+1024000.000,+37888.000,+9351.000,+28537.000
2,9,+1024000.000,+34816.000,+8886.000,+25930.000
2,10,+1024000.000,+45056.000,+8975.000,+36081.000
2,11,+1024000.000,+34816.000,+8936.000,+25880.000
2,12,+1024000.000,+34816.000,+8917.000,+25899.000
2,13,+1024000.000,+34816.000,+8942.000,+25874.000
2,14,+1024000.000,+148480.000,+9704.000,+138776.000
2,15,+1024000.000,+148480.000,+9675.000,+138805.000
2,16,+1024000.000,+45056.000,+9059.000,+35997.000
2,17,+1024000.000,+34816.000,+8924.000,+25892.000
2,18,+1024000.000,+37888.000,+8983.000,+28905.000
2,19,+1024000.000,+37888.000,+9437.000,+28451.000
2,20,+1024000.000,+34816.000,+8932.000,+25884.000
2,21,+1024000.000,+45056.000,+9018.000,+36038.000
